"","city","course1","course2","course3","course4","course5","course6","course7","course8","course9","course10","course11","course12","course13","course14","course15","course16","course17","course18","course19","course20","lon","lat","code","title"
"18","Bergen","EMSD","EMQAL","","","","","","","","","","","","","","","","","","",5.3220544,60.3912628,"Bergen","Bergen"
"19","Berlin","EPOG","IMRD","IT4BI","","","","","","","","","","","","","","","","","",13.404954,52.5200066,"Berlin","Berlin"
"20","Bernburg","BIFTEC","","","","","","","","","","","","","","","","","","","",11.7537327,51.7833579,"Bernburg","Bernburg"
"21","Besanon","EU4M - EMMC","","","","","","","","","","","","","","","","","","","",47.237829,6.0240539,"Besanon","Besanon"
"22","Bielefeld","QEM","","","","","","","","","","","","","","","","","","","",8.5324708,52.0302285,"Bielefeld","Bielefeld"
"23","Bilbao","EUROCULTURE","EM HRPP","","","","","","","","","","","","","","","","","","",-2.9349852,43.2630126,"Bilbao","Bilbao"
"24","Bologna","ChIR","CLE","EMLE","ASC","GEMMA","WACOMA","","","","","","","","","","","","","","",11.3426163,44.494887,"Bologna","Bologna"
"25","Bolzano","EMSE","","","","","","","","","","","","","","","","","","","",11.3547582,46.4982953,"Bolzano","Bolzano"
"26","Bonn","EUROPHILOSOPHIE","","","","","","","","","","","","","","","","","","","",7.0982068,50.73743,"Bonn","Bonn"
"27","Bordeaux","VINIFERA","MEREMMC","WINTOUR","FAME","","","","","","","","","","","","","","","","",-0.57918,44.837789,"Bordeaux","Bordeaux"
"28","Braga","EMLex ","","","","","","","","","","","","","","","","","","","",-8.4265071,41.5454714,"Braga","Braga"
"29","Brasilia","MEGEI","","","","","","","","","","","","","","","","","","","",-47.8821658,-15.7942287,"Brasilia","Brasilia"
"30","Brisbane","TROPIMUNDO","","","","","","","","","","","","","","","","","","","",153.0251235,-27.4697707,"Brisbane","Brisbane"
"31","Brussels","DCLead","4CITIES","TROPIMUNDO","IT4BI","4CITIES","TROPIMUNDO","MEGEI","NOMADS EMMC","","","","","","","","","","","","",4.3517211,50.8503463,"Brussels","Brussels"
"32","Budapest","SSI","ME3","GEMMA","MUNDUS MAPP","CoDe","IMRCEES","EMLex ","NOMADS EMMC","","","","","","","","","","","","",19.040235,47.497912,"Budapest","Budapest"
"33","Cachan","MONABIP","","","","","","","","","","","","","","","","","","","",2.331433,48.791855,"Cachan","Cachan"
"34","Cadiz","WACOMA","EMQAL","","","","","","","","","","","","","","","","","","",-6.2885962,36.5270612,"Cadiz","Cadiz"
"35","Cambridge","MEME","","","","","","","","","","","","","","","","","","","",-71.1097335,42.3736158,"Cambridge","Cambridge"
"36","Cardiff","PLANET Europe","","","","","","","","","","","","","","","","","","","",-3.17909,51.481581,"Cardiff","Cardiff"
"37","Cassino","MAIA","","","","","","","","","","","","","","","","","","","",13.8333776,41.4907889,"Cassino","Cassino"
"38","Castellón de la Plana","EMARO+","GeoTech","","","","","","","","","","","","","","","","","","",-0.0513246,39.9863563,"Castellón de la Plana","Castellón de la Plana"
"39","Chania","EDAMUS","","","","","","","","","","","","","","","","","","","",24.0180367,35.5138298,"Chania","Chania"
"40","Clermont-Ferrand","CHOREOMUNDUS","","","","","","","","","","","","","","","","","","","",3.087025,45.777222,"Clermont-Ferrand","Clermont-Ferrand"
"41","Cluj","MITRA","","","","","","","","","","","","","","","","","","","",23.6236353,46.7712101,"Cluj","Cluj"
"42","Coimbra","STEPS","EUROPHILOSOPHIE","IMAE","SUSCOS","TRIBOS","","","","","","","","","","","","","","","",-8.4403573,40.2048286,"Coimbra","Coimbra"
"43","Constantine","EDAMUS","","","","","","","","","","","","","","","","","","","",6.642433,36.360155,"Constantine","Constantine"
"45","Copenhagen","4CITIES","SUFONAMA","","","","","","","","","","","","","","","","","","",12.5683371,55.6760968,"Copenhagen","Copenhagen"
"46","Cork","MITRA","","","","","","","","","","","","","","","","","","","",-8.4863157,51.8968917,"Cork","Cork"
"47","Cranfield","SPACEMASTER","","","","","","","","","","","","","","","","","","","",-0.6087411,52.0686347,"Cranfield","Cranfield"
"48","Dakar","CLE","MITRA","","","","","","","","","","","","","","","","","","",-17.3660286,14.7645042,"Dakar","Dakar"
"49","Darmstadt","MUNDUS URBANO","FAME","","","","","","","","","","","","","","","","","","",8.6511929,49.8728253,"Darmstadt","Darmstadt"
"50","Debrecen","EM-SANF","","","","","","","","","","","","","","","","","","","",21.6273123,47.5316049,"Debrecen","Debrecen"
"51","Delft","CoMEM","EWEM","GroundwatCH","","","","","","","","","","","","","","","","","",4.3570677,52.0115769,"Delft","Delft"
"52","Dijon","MAIA","","","","","","","","","","","","","","","","","","","",5.04148,47.322047,"Dijon","Dijon"
"53","Dresden","EMM-Nano","GroundwatCH","CARTO","","","","","","","","","","","","","","","","","",13.7372621,51.0504088,"Dresden","Dresden"
"54","Dschang","TROPIMUNDO","","","","","","","","","","","","","","","","","","","",10.0471549,5.4459387,"Dschang","Dschang"
"55","Edinburgh","KINOEYES | KEM","IMIM","MSPME","SSI","ChIR","IMFSE","","","","","","","","","","","","","","",-3.188267,55.953252,"Edinburgh","Edinburgh"
"56","Enschede","CARTO","","","","","","","","","","","","","","","","","","","",6.8936619,52.2215372,"Enschede","Enschede"
