"","city","course1","course2","course3","course4","course5","course6","course7","course8","course9","course10","course11","course12","course13","course14","course15","course16","course17","course18","course19","course20","lon","lat","code","title"
"209","Timisoara","SUSCOS","","","","","","","","","","","","","","","","","","","",21.2086793,45.7488716,"Timisoara","Timisoara"
"210","Tokyo","EUROPHILOSOPHIE","SPACEMASTER","","","","","","","","","","","","","","","","","","",139.6917064,35.6894875,"Tokyo","Tokyo"
"211","Tomar","IMQP","Dyclam","","","","","","","","","","","","","","","","","","",-8.4042526,39.6052067,"Tomar","Tomar"
"212","Torino","MAMASELF","","","","","","","","","","","","","","","","","","","",7.6868565,45.070312,"Torino","Torino"
"213","Toulouse","SPACEMASTER","TCCM","EM-SANF","EUROPHILOSOPHIE","","","","","","","","","","","","","","","","",1.444209,43.604652,"Toulouse","Toulouse"
"214","Tours","IT4BI","","","","","","","","","","","","","","","","","","","",0.68484,47.394144,"Tours","Tours"
"215","Trabzon","MEDfOR","","","","","","","","","","","","","","","","","","","",39.7167633,41.0026969,"Trabzon","Trabzon"
"216","Trento","LCT","CoDe","","","","","","","","","","","","","","","","","","",11.1217486,46.0747793,"Trento","Trento"
"217","Trondheim","CoMEM","EWEM","EMECS","CHOREOMUNDUS","","","","","","","","","","","","","","","","",10.3950528,63.4305149,"Trondheim","Trondheim"
"218","Turin","VINIFERA","VINIFERA","EPOG","","","","","","","","","","","","","","","","","",7.6868565,45.070312,"Turin","Turin"
"219","Turku","EACH","","","","","","","","","","","","","","","","","","","",22.2666303,60.4518126,"Turku","Turku"
"220","Udine","VINIFERA","EUROCULTURE","","","","","","","","","","","","","","","","","","",13.2345794,46.0710668,"Udine","Udine"
"221","Umea","MSPME","","","","","","","","","","","","","","","","","","","",20.2630354,63.8258471,"Umea","Umea"
"222","Uppsala","MEME","EACH","IMIM Med","EUROCULTURE","","","","","","","","","","","","","","","","",17.6389267,59.8585638,"Uppsala","Uppsala"
"223","Utrecht","GEMMA","","","","","","","","","","","","","","","","","","","",5.1214201,52.0907374,"Utrecht","Utrecht"
"224","Valencia","PlantHealth","TCCM","","","","","","","","","","","","","","","","","","",-0.3762881,39.4699075,"Valencia","Valencia"
"225","Valladolid","MEDfOR","","","","","","","","","","","","","","","","","","","",-4.7245321,41.652251,"Valladolid","Valladolid"
"226","Venice","MIM","QEM","EMMCMSP","","","","","","","","","","","","","","","","","",12.3155151,45.4408474,"Venice","Venice"
"227","Vestfold","SSI","","","","","","","","","","","","","","","","","","","",10.1144355,59.1707862,"Vestfold","Vestfold"
"228","Vienna","EUCOMOR","EMGS","EMLE","4CITIES","CARTO","","","","","","","","","","","","","","","",16.3738189,48.2081743,"Vienna","Vienna"
"229","Vila Rea","IMQP","","","","","","","","","","","","","","","","","","","",-7.7457274,41.3003527,"Vila Rea","Vila Rea"
"230","Vilnius","EUROPHOTONICS","","","","","","","","","","","","","","","","","","","",25.2796514,54.6871555,"Vilnius","Vilnius"
"231","Viterbo","MEDfOR","","","","","","","","","","","","","","","","","","","",12.107669,42.4206766,"Viterbo","Viterbo"
"232","Wageningen","EM-SANF","","","","","","","","","","","","","","","","","","","",5.6653948,51.9691868,"Wageningen","Wageningen"
"233","Warsaw","EMLE","ADVANCES","EMARO+","","","","","","","","","","","","","","","","","",21.0122287,52.2296756,"Warsaw","Warsaw"
"234","Wroclaw","MONABIP","EMGS","MONABIP","","","","","","","","","","","","","","","","","",17.0385376,51.1078852,"Wroclaw","Wroclaw"
"235","Wuppertal","EUROPHILOSOPHIE","","","","","","","","","","","","","","","","","","","",7.1507636,51.2562128,"Wuppertal","Wuppertal"
"236","Würzburg","SPACEMASTER","","","","","","","","","","","","","","","","","","","",9.9533548,49.7913044,"Würzburg","Würzburg"
"237","York","MUNDUS MAPP","","","","","","","","","","","","","","","","","","","",-1.0872979,53.9599651,"York","York"
"238","Zaragoza","EDAMUS","","","","","","","","","","","","","","","","","","","",-0.8897421,41.6488696,"Zaragoza","Zaragoza"
