"","code","title","website","uni","country","city","lat","lon","xmin","ymin","xmax","ymax"
"74","STEPS"," Erasmus Mundus Master Course in Sustainable Transportation and Electrical Power Systems","http://emmcsteps.uniovi.es/","University of Oviedo","Spain","Oviedo",43.3619145,-5.8493887,-10.4404,38.2048,14.4964,54.9548
"75","SUSCOS"," Sustainable Constructions under Natural Hazards and Catastrophic Events","http://steel.fsv.cvut.cz/suscos/","Czech Technical University in Prague","Czech Republic","Prague",50.0755381,14.4378005,-10.4404,38.2048,24.1567,67.5848
"76","TCCM"," Euromaster on Theoretical Chemistry and Computational Modelling","http://www.emtccm.org/","Autonomous University of Madrid","Spain","Madrid",40.4167754,-3.7037902,-10.6291,37.4699,14.3908,55.2194
"77","TPTI"," Techniques, Patrimoine, Territoires de l'Industrie","http://www.tpti.eu/","University of Paris 1 Pantheon-Sorbonne","France","Paris",48.856614,2.3522219,-9.9093,36.5707,13.8768,50.8566
"78","TRIBOS"," Joint European master in tribology of surfaces and interfaces","http://www.master-tribos.eu/","University of Leeds","UK","Leeds",53.8007554,-1.5490774,-10.4404,38.2048,24.1567,67.5848
"79","TROPIMUNDO"," Erasmus Mundus Masters Course in Tropical Biodiversity and Ecosystems","http://www.tropimundo.eu/","Free University of Brussels","Belgium","Brussels",50.8503396,4.3517103,0.3522,-29.4954,155.012,52.8503
"80","VINIFERA"," European Master of Science of Viticulture and Enology","http://vinifera-euromaster.eu/","Montpellier SupAgro","France","Montpellier",43.610769,3.876716,-11.1393,36.7223,15.2346,51.9844
"81","WINTOUR"," EMJMD on Wine Tourism Innovation","http://www.wintour-master.eu/en_index/","University Rovira i Virgili","Spain","Tarragona",41.1188827,1.2444909,-10.6291,39.1189,3.2445,46.8378
"82","4CITIES"," UNICA Euromaster in Urban Studies","http://www.4cities.eu/","Free University of Brussels","Belgium","Brussels",50.8503396,4.3517103,-5.7038,3.6761,18.3738,52.8503
"83","ACES"," Joint Masters Degree in Aquaculture, Environment and Society","http://www.sams.ac.uk/aces-erasmus","University of Crete","Greece","Heraklion",35.3387352,25.1442126,-7.471,33.3387,27.1442,58.4152
