X,Y,field_1,city,course1,course2,course3,course4,course5,course6,course7,course8,course9,course10,course11,course12,course13,course14,course15,course16,lon,lat,website1,website2,website3,website4,website5,website6,website7,website8,website9,website10,website11,website12,website13,website14,website15,website16,code,title
4.3517211,50.8503463,31,Brussels,DCLead,4CITIES,TROPIMUNDO,IT4BI,MEGEI,NOMADS EMMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3517211,50.8503463,http://www.dclead.eu/,http://www.4cities.eu/,http://www.tropimundo.eu/,http://it4bi.univ-tours.fr/,http://www.ua.ac.be/egei,http://www.docnomads.eu/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brussels,Brussels
19.040235,47.497912,32,Budapest,SSI,ME3,GEMMA,MUNDUS MAPP,CoDe,IMRCEES,EMLex ,NOMADS EMMC,NA,NA,NA,NA,NA,NA,NA,NA,19.040235,47.497912,http://ssi-master.eu/,http://www.emn.fr/z-de/me3-site/,http://masteres.ugr.es/gemma/,http://www.mundusmapp.org/,http://www.erasmusmundus-code.eu/,http://www.gla.ac.uk/postgraduate/erasmusmundus/imrcees/,http://www.emlex.phil.uni-erlangen.de/,http://www.docnomads.eu/,NA,NA,NA,NA,NA,NA,NA,NA,Budapest,Budapest
2.331433,48.791855,33,Cachan,MONABIP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.331433,48.791855,http://www.monabiphot.ens-cachan.fr/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cachan,Cachan
-6.2885962,36.5270612,34,Cadiz,WACOMA,EMQAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.2885962,36.5270612,"http://erasmusmundus.uca.es/en/content,3,erasmus-mundus",http://www.emqal.org/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cadiz,Cadiz
-71.1097335,42.3736158,35,Cambridge,MEME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.1097335,42.3736158,http://www.evobio.eu/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cambridge,Cambridge
-3.17909,51.481581,36,Cardiff,PLANET Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.17909,51.481581,http://www.planet-europe.eu/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cardiff,Cardiff
13.8333776,41.4907889,37,Cassino,MAIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8333776,41.4907889,http://www.maiamaster.org/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cassino,Cassino
-0.0513246,39.9863563,38,Castellón de la Plana,EMARO+,GeoTech,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0513246,39.9863563,http://emaro.irccyn.ec-nantes.fr/,http://mastergeotech.info/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Castellón de la Plana,Castellón de la Plana
24.0180367,35.5138298,39,Chania,EDAMUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.0180367,35.5138298,http://www.master-edamus.eu/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chania,Chania
3.087025,45.777222,40,Clermont-Ferrand,CHOREOMUNDUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.087025,45.777222,http://www.choreomundus.org/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Clermont-Ferrand,Clermont-Ferrand
23.6236353,46.7712101,41,Cluj,MITRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.6236353,46.7712101,http://mastermitra.univ-lille3.fr/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cluj,Cluj
-8.4403573,40.2048286,42,Coimbra,STEPS,EUROPHILOSOPHIE,IMAE,SUSCOS,TRIBOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.4403573,40.2048286,http://emmcsteps.uniovi.es/,http://europhilomem.hypotheses.org/,http://www.emmc-imae.org/,http://steel.fsv.cvut.cz/suscos/,http://www.master-tribos.eu/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Coimbra,Coimbra
6.642433,36.360155,43,Constantine,EDAMUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.642433,36.360155,http://www.master-edamus.eu/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Constantine,Constantine
12.5683371,55.6760968,44,Copenhagen,4CITIES,SUFONAMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5683371,55.6760968,http://www.4cities.eu/,http://sufonama.eu/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Copenhagen,Copenhagen
-8.4863157,51.8968917,45,Cork,MITRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.4863157,51.8968917,http://mastermitra.univ-lille3.fr/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cork,Cork
-0.6087411,52.0686347,46,Cranfield,SPACEMASTER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6087411,52.0686347,http://www.spacemaster.eu/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cranfield,Cranfield
-17.3660286,14.7645042,47,Dakar,CLE,MITRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.3660286,14.7645042,http://www.cle.unibo.it/site/,http://mastermitra.univ-lille3.fr/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dakar,Dakar
