	variable	value	citibike_station_id	label
1415	1	3.54	296	Division St & Bowery
1433	1	0.66	297	E 15 St & 3 Ave
1465	1	2.46	300	Cooper Square & E 7 St
1496	1	30.5	301	E 2 St & Avenue B
1531	1	52.71	302	Avenue D & E 3 St
1545	1	0.22	303	Mercer St & Spring St
1568	1	0	304	Broadway & Battery Pl
1601	1	0	305	E 58 St and 3 Ave
1629	1	3.2	306	Cliff St & Fulton St
1647	1	23.76	307	Canal St & Rutgers St
1676	1	11.05	308	St James Pl & Oliver St
1699	1	2.21	309	Murray St & West St
1725	1	14.14	311	Norfolk St & Broome St
1757	1	25.75	312	Allen St & E Houston St
1770	1	0.22	315	South St & Gouverneur Ln
1795	1	0	316	Fulton St & William St
1826	1	48.62	317	E 6 St & Avenue B
1858	1	1.33	319	Park Pl & Church St
1882	1	0	320	Church St & Leonard St
1902	1	3.43	325	E 19 St & 3 Ave
1927	1	25.86	326	E 11 St & 1 Ave
1955	1	2.76	327	Vesey Pl & River Terrace
1977	1	14.7	328	Watts St & Greenwich St
2010	1	0.77	329	Greenwich St & N Moore St
2029	1	0	330	Reade St & Broadway
2055	1	20.88	331	Pike St & Monroe St
2086	1	39.34	332	Cherry St
2115	1	1.99	334	W 20 St & 7 Ave
2151	1	0	335	Washington Pl & Broadway
2182	1	2.87	336	Sullivan St & Washington Sq
2201	1	0	337	Old Slip & Front St
2229	1	29.83	339	Avenue D & E 12 St
2257	1	41.88	340	Madison St & Clinton St
2287	1	34.14	341	Stanton St & Mangin St
2314	1	38.45	342	Columbia St & Rivington St
2337	1	0	345	W 13 St & 6 Ave
2362	1	11.93	346	Bank St & Hudson St
2384	1	0.77	347	W Houston St & Hudson St
2394	1	1.22	348	W Broadway & Spring St
2425	1	36.02	349	Rivington St and Ridge St
2454	1	40.44	350	Clinton St & Grand St
2481	1	0.66	351	Front St & Maiden Ln
2504	1	19.89	352	W 56 St & 6 Ave
2535	1	1.66	355	Bayard St & Baxter St
2566	1	26.08	356	Bialystoker Pl & Delancey St
2580	1	0	357	E 11 St & Broadway
2601	1	19.01	358	Christopher St & Greenwich St
2636	1	0.11	359	E 47 St & Park Av
2665	1	0	360	William St & Pine St
2683	1	11.6	361	Allen St & Hester St
2711	1	0	362	Broadway & W 37 St
2737	1	8.62	363	West Thames St
2774	1	0	367	E 53 St and Lexington Ave
2801	1	1.55	368	Carmine St & 6 Ave
2828	1	0.55	369	Washington Pl & 6 Ave
2842	1	3.98	375	Mercer St & Bleecker St
2865	1	0.88	376	John St & William St
