id	variable	value	cluster	label
228	16	17	1.75	2	Cleveland Pl & Spring St
229	16	4	0	2	Cleveland Pl & Spring St
230	16	2	0	2	Cleveland Pl & Spring St
231	16	0	0	2	Cleveland Pl & Spring St
232	16	20	0.11	2	Cleveland Pl & Spring St
233	16	16	3.05	2	Cleveland Pl & Spring St
234	16	8	0.33	2	Cleveland Pl & Spring St
235	16	5	0	2	Cleveland Pl & Spring St
236	16	10	8.71	2	Cleveland Pl & Spring St
237	16	6	0	2	Cleveland Pl & Spring St
238	16	21	0.22	2	Cleveland Pl & Spring St
239	16	12	11.89	2	Cleveland Pl & Spring St
240	16	9	3.7	2	Cleveland Pl & Spring St
241	17	11	10.89	2	Warren St & Church St
242	17	20	4.6	2	Warren St & Church St
243	17	18	4.52	2	Warren St & Church St
244	17	23	3.38	2	Warren St & Church St
245	17	14	8.72	2	Warren St & Church St
246	17	3	2.72	2	Warren St & Church St
247	17	4	2.61	2	Warren St & Church St
248	17	8	6.77	2	Warren St & Church St
249	17	7	4.58	2	Warren St & Church St
250	17	13	13.29	2	Warren St & Church St
251	17	6	3.38	2	Warren St & Church St
252	17	1	2.65	2	Warren St & Church St
253	17	10	10.78	2	Warren St & Church St
254	17	0	2.22	2	Warren St & Church St
255	17	16	12.96	2	Warren St & Church St
256	17	12	12.21	2	Warren St & Church St
257	17	15	9.16	2	Warren St & Church St
258	17	22	3.62	2	Warren St & Church St
259	17	19	1.43	2	Warren St & Church St
260	17	17	9.09	2	Warren St & Church St
261	17	21	2.52	2	Warren St & Church St
262	17	5	3.16	2	Warren St & Church St
263	17	2	2.62	2	Warren St & Church St
264	17	9	9.59	2	Warren St & Church St
265	18	15	0.22	2	E 40 St & 5 Ave
266	18	4	0	2	E 40 St & 5 Ave
267	18	7	0	2	E 40 St & 5 Ave
268	18	23	0	2	E 40 St & 5 Ave
269	18	13	3.7	2	E 40 St & 5 Ave
270	18	8	0.33	2	E 40 St & 5 Ave
271	18	3	0.11	2	E 40 St & 5 Ave
272	18	10	6.21	2	E 40 St & 5 Ave
273	18	19	0	2	E 40 St & 5 Ave
274	18	0	0	2	E 40 St & 5 Ave
275	18	20	0	2	E 40 St & 5 Ave
276	18	11	4.47	2	E 40 St & 5 Ave
277	18	2	0.11	2	E 40 St & 5 Ave
278	18	6	0	2	E 40 St & 5 Ave
279	18	1	0	2	E 40 St & 5 Ave
280	18	22	0	2	E 40 St & 5 Ave
281	18	9	4.36	2	E 40 St & 5 Ave
282	18	17	0	2	E 40 St & 5 Ave
283	18	16	0	2	E 40 St & 5 Ave
284	18	5	0	2	E 40 St & 5 Ave
285	18	14	0.11	2	E 40 St & 5 Ave
286	18	12	4.8	2	E 40 St & 5 Ave
287	18	18	0	2	E 40 St & 5 Ave
288	18	21	0	2	E 40 St & 5 Ave
289	20	7	0	2	E 37 St & Lexington Ave
290	20	3	0	2	E 37 St & Lexington Ave
291	20	8	0	2	E 37 St & Lexington Ave
292	20	12	0.22	2	E 37 St & Lexington Ave
293	20	15	0	2	E 37 St & Lexington Ave
294	20	19	0	2	E 37 St & Lexington Ave
295	20	5	0	2	E 37 St & Lexington Ave
296	20	23	0	2	E 37 St & Lexington Ave
297	20	1	0	2	E 37 St & Lexington Ave
298	20	20	0	2	E 37 St & Lexington Ave
299	20	9	0.44	2	E 37 St & Lexington Ave
300	20	11	0.65	2	E 37 St & Lexington Ave
301	20	4	0	2	E 37 St & Lexington Ave
302	20	18	0	2	E 37 St & Lexington Ave
303	20	22	0	2	E 37 St & Lexington Ave
304	20	16	0	2	E 37 St & Lexington Ave
305	20	6	0	2	E 37 St & Lexington Ave
306	20	21	0	2	E 37 St & Lexington Ave
307	20	0	0	2	E 37 St & Lexington Ave
308	20	10	0.65	2	E 37 St & Lexington Ave
309	20	17	0	2	E 37 St & Lexington Ave
310	20	14	0	2	E 37 St & Lexington Ave
311	20	2	0	2	E 37 St & Lexington Ave
312	20	13	0	2	E 37 St & Lexington Ave
313	21	8	0	2	LaGuardia Pl & W 3 St
314	21	5	0.65	2	LaGuardia Pl & W 3 St
315	21	11	9.48	2	LaGuardia Pl & W 3 St
316	21	20	8.98	2	LaGuardia Pl & W 3 St
317	21	7	0	2	LaGuardia Pl & W 3 St
318	21	19	12.94	2	LaGuardia Pl & W 3 St
319	21	6	0.22	2	LaGuardia Pl & W 3 St
320	21	1	0.66	2	LaGuardia Pl & W 3 St
321	21	12	6.87	2	LaGuardia Pl & W 3 St
322	21	15	4.58	2	LaGuardia Pl & W 3 St
323	21	17	3.18	2	LaGuardia Pl & W 3 St
324	21	4	0.65	2	LaGuardia Pl & W 3 St
325	21	22	1.54	2	LaGuardia Pl & W 3 St
326	21	3	0.65	2	LaGuardia Pl & W 3 St
327	21	23	0.79	2	LaGuardia Pl & W 3 St
328	21	14	5.89	2	LaGuardia Pl & W 3 St
329	21	0	1	2	LaGuardia Pl & W 3 St
330	21	10	5.77	2	LaGuardia Pl & W 3 St
331	21	13	7.73	2	LaGuardia Pl & W 3 St
332	21	18	12.24	2	LaGuardia Pl & W 3 St
333	21	9	1.96	2	LaGuardia Pl & W 3 St
334	21	16	4.58	2	LaGuardia Pl & W 3 St
335	21	21	4.71	2	LaGuardia Pl & W 3 St
336	21	2	0.66	2	LaGuardia Pl & W 3 St
337	22	8	0.11	2	E 47 St & 2 Ave
338	22	19	0	2	E 47 St & 2 Ave
339	22	1	0	2	E 47 St & 2 Ave
340	22	7	0	2	E 47 St & 2 Ave
341	22	23	0	2	E 47 St & 2 Ave
342	22	4	0	2	E 47 St & 2 Ave
343	22	20	0	2	E 47 St & 2 Ave
344	22	15	1.31	2	E 47 St & 2 Ave
345	22	10	12.85	2	E 47 St & 2 Ave
346	22	6	0	2	E 47 St & 2 Ave
347	22	11	10.24	2	E 47 St & 2 Ave
348	22	3	0	2	E 47 St & 2 Ave
349	22	9	5.66	2	E 47 St & 2 Ave
350	22	17	0.11	2	E 47 St & 2 Ave
351	22	18	0	2	E 47 St & 2 Ave
352	22	5	0	2	E 47 St & 2 Ave
353	22	12	7.63	2	E 47 St & 2 Ave
354	22	16	0.11	2	E 47 St & 2 Ave
355	22	21	0	2	E 47 St & 2 Ave
356	22	0	0	2	E 47 St & 2 Ave
357	22	22	0	2	E 47 St & 2 Ave
358	22	2	0	2	E 47 St & 2 Ave
359	22	14	2.18	2	E 47 St & 2 Ave
360	22	13	2.4	2	E 47 St & 2 Ave
361	23	15	0.11	2	E 39 St & 3 Av
362	23	7	0	2	E 39 St & 3 Av
363	23	3	0	2	E 39 St & 3 Av
364	23	6	0	2	E 39 St & 3 Av
365	23	19	0	2	E 39 St & 3 Av
366	23	5	0	2	E 39 St & 3 Av
367	23	23	0	2	E 39 St & 3 Av
368	23	17	0	2	E 39 St & 3 Av
369	23	4	0	2	E 39 St & 3 Av
370	23	8	0	2	E 39 St & 3 Av
371	23	12	0.22	2	E 39 St & 3 Av
372	23	16	0	2	E 39 St & 3 Av
373	23	14	0.11	2	E 39 St & 3 Av
374	23	11	0.65	2	E 39 St & 3 Av
375	23	22	0	2	E 39 St & 3 Av
376	23	10	1.31	2	E 39 St & 3 Av
377	23	13	0.22	2	E 39 St & 3 Av
378	23	1	0	2	E 39 St & 3 Av
379	23	20	0	2	E 39 St & 3 Av
380	23	9	0.44	2	E 39 St & 3 Av
381	23	2	0	2	E 39 St & 3 Av
382	23	21	0	2	E 39 St & 3 Av
383	23	18	0	2	E 39 St & 3 Av
384	23	0	0	2	E 39 St & 3 Av
385	24	3	0	2	W 18 St & 6 Av
386	24	23	0	2	W 18 St & 6 Av
387	24	19	0.11	2	W 18 St & 6 Av
388	24	20	0	2	W 18 St & 6 Av
389	24	8	1.42	2	W 18 St & 6 Av
390	24	10	18.19	2	W 18 St & 6 Av
391	24	15	3.93	2	W 18 St & 6 Av
392	24	11	15.9	2	W 18 St & 6 Av
393	24	5	0	2	W 18 St & 6 Av
394	24	9	14.49	2	W 18 St & 6 Av
395	24	17	0.33	2	W 18 St & 6 Av
396	24	1	0	2	W 18 St & 6 Av
397	24	0	0	2	W 18 St & 6 Av
398	24	12	13.96	2	W 18 St & 6 Av
399	24	16	1.96	2	W 18 St & 6 Av
400	24	4	0	2	W 18 St & 6 Av
401	24	18	0.22	2	W 18 St & 6 Av
402	24	22	0	2	W 18 St & 6 Av
403	24	2	0	2	W 18 St & 6 Av
404	24	6	0	2	W 18 St & 6 Av
405	24	21	0	2	W 18 St & 6 Av
406	24	13	9.69	2	W 18 St & 6 Av
407	24	14	7.2	2	W 18 St & 6 Av
408	24	7	0.22	2	W 18 St & 6 Av
409	25	19	0	2	Broadway & W 49 St
410	25	5	0	2	Broadway & W 49 St
411	25	1	0	2	Broadway & W 49 St
412	25	0	0	2	Broadway & W 49 St
413	25	15	0.22	2	Broadway & W 49 St
414	25	4	0	2	Broadway & W 49 St
415	25	8	4.04	2	Broadway & W 49 St
416	25	20	0	2	Broadway & W 49 St
417	25	23	0	2	Broadway & W 49 St
418	25	6	0	2	Broadway & W 49 St
419	25	18	0	2	Broadway & W 49 St
420	25	22	0	2	Broadway & W 49 St
421	25	9	7.73	2	Broadway & W 49 St
422	25	17	0	2	Broadway & W 49 St
423	25	21	0	2	Broadway & W 49 St
424	25	11	2.51	2	Broadway & W 49 St
425	25	12	0.98	2	Broadway & W 49 St
426	25	16	0.11	2	Broadway & W 49 St
427	25	14	0.33	2	Broadway & W 49 St
428	25	7	0	2	Broadway & W 49 St
429	25	2	0	2	Broadway & W 49 St
430	25	13	0.76	2	Broadway & W 49 St
431	25	10	4.79	2	Broadway & W 49 St
432	25	3	0	2	Broadway & W 49 St
433	26	15	0.11	2	E 25 St & 1 Ave
434	26	1	24.2	2	E 25 St & 1 Ave
435	26	18	0.77	2	E 25 St & 1 Ave
436	26	14	0.44	2	E 25 St & 1 Ave
437	26	17	0.11	2	E 25 St & 1 Ave
438	26	5	7.84	2	E 25 St & 1 Ave
439	26	0	21.78	2	E 25 St & 1 Ave
440	26	10	0	2	E 25 St & 1 Ave
441	26	23	19.37	2	E 25 St & 1 Ave
442	26	11	0	2	E 25 St & 1 Ave
443	26	12	0	2	E 25 St & 1 Ave
444	26	16	0.11	2	E 25 St & 1 Ave
445	26	7	1.96	2	E 25 St & 1 Ave
446	26	8	2.29	2	E 25 St & 1 Ave
447	26	22	10.64	2	E 25 St & 1 Ave
448	26	2	23.72	2	E 25 St & 1 Ave
449	26	13	0.54	2	E 25 St & 1 Ave
450	26	20	1.64	2	E 25 St & 1 Ave
451	26	21	5.15	2	E 25 St & 1 Ave
452	26	9	0	2	E 25 St & 1 Ave
453	26	3	22.77	2	E 25 St & 1 Ave
454	26	4	17.54	2	E 25 St & 1 Ave
455	26	19	3.62	2	E 25 St & 1 Ave
456	26	6	2.07	2	E 25 St & 1 Ave
457	27	9	2.29	2	Liberty St & Broadway
458	27	23	0	2	Liberty St & Broadway
459	27	0	0	2	Liberty St & Broadway
460	27	18	0	2	Liberty St & Broadway
461	27	22	0	2	Liberty St & Broadway
462	27	13	1.85	2	Liberty St & Broadway
463	27	14	1.74	2	Liberty St & Broadway
464	27	10	7.19	2	Liberty St & Broadway
465	27	2	0	2	Liberty St & Broadway
466	27	12	4.58	2	Liberty St & Broadway
467	27	6	0	2	Liberty St & Broadway
468	27	1	0	2	Liberty St & Broadway
469	27	17	0.11	2	Liberty St & Broadway
470	27	15	2.62	2	Liberty St & Broadway
471	27	7	0.22	2	Liberty St & Broadway
472	27	3	0.11	2	Liberty St & Broadway
473	27	11	5.88	2	Liberty St & Broadway
474	27	5	0.11	2	Liberty St & Broadway
475	27	21	0	2	Liberty St & Broadway
476	27	16	0.87	2	Liberty St & Broadway
477	27	4	0	2	Liberty St & Broadway
478	27	8	0.22	2	Liberty St & Broadway
479	27	20	0	2	Liberty St & Broadway
480	27	19	0	2	Liberty St & Broadway
481	28	23	0	2	W 16 St & The High Line
482	28	2	0	2	W 16 St & The High Line
483	28	13	16.34	2	W 16 St & The High Line
484	28	7	0.65	2	W 16 St & The High Line
485	28	14	7.42	2	W 16 St & The High Line
486	28	10	29.3	2	W 16 St & The High Line
487	28	18	0	2	W 16 St & The High Line
488	28	6	0	2	W 16 St & The High Line
489	28	3	0	2	W 16 St & The High Line
490	28	9	18.95	2	W 16 St & The High Line
491	28	4	0	2	W 16 St & The High Line
492	28	17	0.44	2	W 16 St & The High Line
493	28	22	0.99	2	W 16 St & The High Line
494	28	19	0.22	2	W 16 St & The High Line
495	28	16	0.44	2	W 16 St & The High Line
496	28	11	20.15	2	W 16 St & The High Line
497	28	21	0.77	2	W 16 St & The High Line
498	28	5	0	2	W 16 St & The High Line
499	28	12	23.12	2	W 16 St & The High Line
500	28	0	0	2	W 16 St & The High Line
501	28	15	3.49	2	W 16 St & The High Line
502	28	20	0.44	2	W 16 St & The High Line
503	28	1	0	2	W 16 St & The High Line
504	28	8	1.86	2	W 16 St & The High Line
505	33	7	0.11	2	Spruce St & Nassau St
506	33	23	0	2	Spruce St & Nassau St
507	33	2	0	2	Spruce St & Nassau St
508	33	19	0.66	2	Spruce St & Nassau St
509	33	6	0	2	Spruce St & Nassau St
510	33	3	0	2	Spruce St & Nassau St
511	33	14	7.42	2	Spruce St & Nassau St
512	33	10	6.1	2	Spruce St & Nassau St
513	33	11	4.47	2	Spruce St & Nassau St
514	33	20	1.42	2	Spruce St & Nassau St
515	33	16	2.4	2	Spruce St & Nassau St
516	33	18	0.66	2	Spruce St & Nassau St
517	33	17	1.86	2	Spruce St & Nassau St
518	33	8	0.11	2	Spruce St & Nassau St
519	33	21	0.99	2	Spruce St & Nassau St
520	33	5	0	2	Spruce St & Nassau St
521	33	15	3.71	2	Spruce St & Nassau St
522	33	9	3.59	2	Spruce St & Nassau St
523	33	12	4.47	2	Spruce St & Nassau St
524	33	0	0	2	Spruce St & Nassau St
525	33	22	0.44	2	Spruce St & Nassau St
526	33	13	4.9	2	Spruce St & Nassau St
527	33	1	0.33	2	Spruce St & Nassau St
528	33	4	0	2	Spruce St & Nassau St
529	34	2	0.33	2	W 14 St & The High Line
530	34	10	21.57	2	W 14 St & The High Line
531	34	7	0.33	2	W 14 St & The High Line
532	34	3	0	2	W 14 St & The High Line
533	34	16	3.81	2	W 14 St & The High Line
534	34	18	1.21	2	W 14 St & The High Line
535	34	19	1.54	2	W 14 St & The High Line
536	34	6	0	2	W 14 St & The High Line
537	34	21	1.54	2	W 14 St & The High Line
538	34	23	2.03	2	W 14 St & The High Line
539	34	15	7.09	2	W 14 St & The High Line
540	34	11	22.11	2	W 14 St & The High Line
541	34	20	2.85	2	W 14 St & The High Line
542	34	14	11.34	2	W 14 St & The High Line
543	34	22	2.08	2	W 14 St & The High Line
544	34	8	0.98	2	W 14 St & The High Line
545	34	17	1.64	2	W 14 St & The High Line
546	34	0	1.56	2	W 14 St & The High Line
547	34	4	0	2	W 14 St & The High Line
548	34	9	10.46	2	W 14 St & The High Line
549	34	13	16.12	2	W 14 St & The High Line
550	34	1	1.77	2	W 14 St & The High Line
551	34	5	0	2	W 14 St & The High Line
552	34	12	18.32	2	W 14 St & The High Line
553	35	7	0.11	2	E 48 St & 3 Ave
554	35	2	0	2	E 48 St & 3 Ave
555	35	6	0	2	E 48 St & 3 Ave
556	35	23	0	2	E 48 St & 3 Ave
557	35	10	26.14	2	E 48 St & 3 Ave
558	35	19	0	2	E 48 St & 3 Ave
559	35	20	0	2	E 48 St & 3 Ave
560	35	14	2.51	2	E 48 St & 3 Ave
561	35	4	0	2	E 48 St & 3 Ave
562	35	15	3.38	2	E 48 St & 3 Ave
563	35	11	14.49	2	E 48 St & 3 Ave
564	35	3	0	2	E 48 St & 3 Ave
565	35	16	0.44	2	E 48 St & 3 Ave
566	35	18	0	2	E 48 St & 3 Ave
567	35	17	0	2	E 48 St & 3 Ave
568	35	12	7.63	2	E 48 St & 3 Ave
569	35	21	0	2	E 48 St & 3 Ave
570	35	9	21.79	2	E 48 St & 3 Ave
571	35	8	0.76	2	E 48 St & 3 Ave
572	35	5	0	2	E 48 St & 3 Ave
573	35	22	0	2	E 48 St & 3 Ave
574	35	0	0	2	E 48 St & 3 Ave
575	35	13	3.27	2	E 48 St & 3 Ave
576	35	1	0.11	2	E 48 St & 3 Ave
577	36	2	0	2	Great Jones St
578	36	7	2.94	2	Great Jones St
579	36	10	15.03	2	Great Jones St
580	36	6	0.22	2	Great Jones St
581	36	18	3.2	2	Great Jones St
582	36	19	3.29	2	Great Jones St
583	36	23	0.11	2	Great Jones St
584	36	4	0	2	Great Jones St
585	36	8	9.28	2	Great Jones St
586	36	3	0	2	Great Jones St
587	36	16	12.31	2	Great Jones St
588	36	14	9.38	2	Great Jones St
589	36	15	10.25	2	Great Jones St
590	36	11	14.71	2	Great Jones St
591	36	21	0.55	2	Great Jones St
592	36	5	0	2	Great Jones St
593	36	22	0.22	2	Great Jones St
594	36	13	12.09	2	Great Jones St
595	36	20	1.42	2	Great Jones St
596	36	0	0.33	2	Great Jones St
597	36	9	19.06	2	Great Jones St
598	36	17	5.91	2	Great Jones St
