variable	value	label
225	4	39.11	E 2 St & Avenue C
226	7	2.29	E 2 St & Avenue C
227	22	39.14	E 2 St & Avenue C
228	15	0	E 2 St & Avenue C
229	19	24.45	E 2 St & Avenue C
230	2	39.89	E 2 St & Avenue C
231	6	7.09	E 2 St & Avenue C
232	21	35.42	E 2 St & Avenue C
233	0	36.33	E 2 St & Avenue C
234	13	0	E 2 St & Avenue C
235	8	0	E 2 St & Avenue C
236	11	0.22	E 2 St & Avenue C
237	3	39.32	E 2 St & Avenue C
238	16	0	E 2 St & Avenue C
239	17	0.33	E 2 St & Avenue C
240	20	29.79	E 2 St & Avenue C
241	18	1.1	Cleveland Pl & Spring St
242	22	0.33	Cleveland Pl & Spring St
243	13	7.84	Cleveland Pl & Spring St
244	11	8.28	Cleveland Pl & Spring St
245	23	0	Cleveland Pl & Spring St
246	15	3.38	Cleveland Pl & Spring St
247	19	0.33	Cleveland Pl & Spring St
248	14	4.8	Cleveland Pl & Spring St
249	1	0	Cleveland Pl & Spring St
250	3	0	Cleveland Pl & Spring St
251	7	0	Cleveland Pl & Spring St
252	17	1.75	Cleveland Pl & Spring St
253	4	0	Cleveland Pl & Spring St
254	2	0	Cleveland Pl & Spring St
255	0	0	Cleveland Pl & Spring St
256	20	0.11	Cleveland Pl & Spring St
257	16	3.05	Cleveland Pl & Spring St
258	8	0.33	Cleveland Pl & Spring St
259	5	0	Cleveland Pl & Spring St
260	10	8.71	Cleveland Pl & Spring St
261	6	0	Cleveland Pl & Spring St
262	21	0.22	Cleveland Pl & Spring St
263	12	11.89	Cleveland Pl & Spring St
264	9	3.7	Cleveland Pl & Spring St
265	11	10.89	Warren St & Church St
266	20	4.6	Warren St & Church St
267	18	4.52	Warren St & Church St
268	23	3.38	Warren St & Church St
269	14	8.72	Warren St & Church St
270	3	2.72	Warren St & Church St
271	4	2.61	Warren St & Church St
272	8	6.77	Warren St & Church St
273	7	4.58	Warren St & Church St
274	13	13.29	Warren St & Church St
275	6	3.38	Warren St & Church St
276	1	2.65	Warren St & Church St
277	10	10.78	Warren St & Church St
278	0	2.22	Warren St & Church St
279	16	12.96	Warren St & Church St
280	12	12.21	Warren St & Church St
281	15	9.16	Warren St & Church St
282	22	3.62	Warren St & Church St
283	19	1.43	Warren St & Church St
284	17	9.09	Warren St & Church St
285	21	2.52	Warren St & Church St
286	5	3.16	Warren St & Church St
